DBO_mg/L,DQO_mg/L
0.0061,0.0097
0.0,0.0014
0.0,0.0
0.0,0.0029
0.0,0.0
0.0,0.0
0.0,0.0003
0.0,0.0039
0.0013,0.0047
0.0,0.0011
0.0,0.0034
0.0,0.0
0.001,0.0
0.0004,0.0026
0.0,0.0008
0.0,0.0043
0.0008,0.0054
0.0004,0.0037
0.0,0.0
0.0,0.002
0.0,0.0
0.0,0.0
0.0,0.0029
0.0,0.0039
0.0045,0.005
0.0,0.0
0.0211,0.0041
0.2288,0.0996
0.0007,0.0
0.0,0.0
0.0468,0.0325
0.0,0.0
0.0,0.0
0.0028,0.007
0.0014,0.0007
0.0,0.0
0.0656,0.0207
0.0021,0.0069
0.0018,0.0008
0.0069,0.0019
0.0029,0.0009
0.0026,0.0021
0.0042,0.0011
0.0002,0.0002
0.0061,0.0015
0.0064,0.0037
0.015,0.0053
0.0019,0.0005
0.0165,0.0075
0.0036,0.0013
0.0003,0.0021
0.0069,0.0019
0.0008,0.0006
0.0025,0.0025
0.0069,0.0019
0.0,0.0
0.0,0.0024
0.0047,0.0015
0.0069,0.0019
0.0224,0.011
0.0041,0.0027
0.0018,0.0035
0.001,0.0
0.0016,0.001
0.0022,0.0016
0.0015,0.0014
0.0021,0.0042
0.0001,0.0023
0.077,0.028
0.0,0.0
0.0013,0.0003
0.0,0.0009
0.0,0.0
0.0,0.0
0.0,0.0011
0.0,0.0
0.0,0.001
0.0,0.0
0.0,0.0
0.0,0.0
0.0195,0.0096
0.0287,0.0163
0.001,0.0014
0.0337,0.0101
0.0726,0.0225
0.0271,0.0066
0.0112,0.0036
0.0119,0.0032
0.0548,0.0194
0.0474,0.0171
0.0,0.0
0.0,0.0137
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0375,0.0116
0.0207,0.0096
0.0,0.0023
0.0014,0.0017
0.0,0.0026
0.0,0.0022
0.2896,0.0767
0.009,0.002
0.0182,0.0061
0.0064,0.0037
0.0033,0.001
0.0011,0.0014
0.002,0.0025
0.0034,0.0019
0.0084,0.0015
0.0029,0.0009
0.0,0.0023
0.0,0.0021
0.0,0.0023
0.0,0.0026
0.0149,0.0087
0.0,0.0025
0.0,0.0027
0.0139,0.0044
0.0127,0.0051
0.0,0.0019
0.0003,0.0023
0.0089,0.0024
0.0127,0.0033
0.0154,0.0031
0.0107,0.0021
0.0609,0.0239
0.035,0.0158
0.015,0.0033
0.242,0.0733
0.0029,0.0009
0.0025,0.0017
0.0012,0.0036
0.0015,0.0029
0.0,0.0024
0.0,0.0024
0.0,0.0026
0.0,0.0027
0.0,0.002
0.0,0.0043
0.0,0.0022
0.0,0.0027
0.0,0.003
0.0,0.0025
0.0069,0.0019
0.0043,0.0059
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0007
0.0058,0.0037
0.0,0.0053
0.0103,0.006
0.0065,0.0035
0.0086,0.0071
0.0073,0.0068
0.0,0.0012
0.0,0.003
0.0057,0.0035
0.0,0.0
0.0058,0.0045
0.006,0.0053
0.0,0.0002
0.0,0.0045
0.0066,0.003
0.0018,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.008,0.0015
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0048,0.0148
0.0095,0.0117
0.003,0.0091
0.0456,0.0121
0.0,0.0
0.0045,0.0003
0.0,0.0
0.0,0.0
0.0017,0.0121
0.0,0.0
0.0012,0.0005
0.0035,0.0075
0.0034,0.0011
0.0382,0.1335
0.002,0.0026
0.0044,0.0018
0.0053,0.0003
0.0018,0.0006
0.0031,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0079
0.0,0.0
0.0,0.0001
0.0232,0.0089
0.0038,0.0012
0.0,0.0
0.0032,0.0011
0.0009,0.0
0.0224,0.011
0.0,0.0
0.0028,0.0
0.0,0.0008
0.0127,0.005
0.0388,0.1332
0.0198,0.0054
0.0382,0.1335
0.0098,0.0022
0.0143,0.0048
0.0224,0.011
0.0,0.0004
0.0002,0.0015
0.0018,0.0006
0.0245,0.0083
0.0055,0.0012
0.3931,0.3005
0.0234,0.0116
0.0347,0.0194
0.0381,0.0236
0.0064,0.003
0.0,0.0078
0.0009,0.0083
0.0,0.0065
0.0,0.0068
0.3206,0.1123
0.4517,0.1795
0.0052,0.0011
0.0579,0.0203
0.0123,0.0081
0.0106,0.0037
0.0743,0.0222
0.0852,0.0273
1.0,0.3536
0.1073,0.0902
0.0122,0.0028
0.0,0.0
0.0,0.0
0.0042,0.0032
0.0003,0.0009
0.0153,0.0068
0.0153,0.0068
0.0129,0.0049
0.0129,0.0049
0.0114,0.0058
0.0172,0.0074
0.0061,0.0053
0.0101,0.0031
0.0041,0.0027
0.0138,0.0072
0.0198,0.0051
0.01,0.0074
0.0051,0.0032
0.0041,0.0027
0.0396,0.1336
0.005,0.0034
0.0251,0.0076
0.0135,0.0113
0.0138,0.0072
0.0992,0.0409
0.0165,0.0075
0.0128,0.0063
0.01,0.0074
0.0129,0.0049
0.0077,0.002
0.0077,0.0018
0.0108,0.0021
0.0115,0.0023
0.0081,0.0018
0.0,0.0006
0.0021,0.0052
0.0,0.0035
0.0003,0.0021
0.0036,0.0013
0.0005,0.002
0.0004,0.0042
0.0064,0.0037
0.0084,0.0036
0.0033,0.001
0.0003,0.0007
0.0029,0.0004
0.0078,0.0012
0.0099,0.0051
0.0062,0.0072
0.0262,0.016
0.007,0.0051
0.0038,0.003
0.0033,0.0033
0.004,0.0029
0.0064,0.0075
0.0295,0.0148
0.0157,0.0266
0.0157,0.0266
0.0013,0.0014
0.0575,0.0562
0.0055,0.0023
0.0627,0.0265
0.0019,0.0035
0.0008,0.0009
0.003,0.0011
0.0018,0.0028
0.0019,0.0011
0.0005,0.0012
0.0023,0.0004
0.0004,0.0009
0.0031,0.0013
0.003,0.0039
0.005,0.0074
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0074,0.0035
0.0139,0.005
0.006,0.0026
0.0055,0.0024
0.0033,0.0017
0.0199,0.0049
0.0016,0.0012
0.0047,0.0024
0.1325,0.0539
0.0206,0.0047
0.0198,0.0032
0.0003,0.0
0.0005,0.0
0.0011,0.0011
0.0145,0.0096
0.0145,0.0096
0.0015,0.0003
0.0145,0.0096
0.0035,0.0039
0.0014,0.001
0.0037,0.0014
0.0268,0.0062
0.1915,0.0547
0.2932,0.0797
0.2491,0.0689
0.005,0.0025
0.003,0.001
0.0,0.0
0.01,0.0044
0.0,0.0022
0.0,0.0031
0.0,0.0014
0.0,0.0014
0.0,0.0014
0.0,0.0022
0.0,0.0014
0.0,0.0022
0.0,0.0031
0.0,0.0013
0.0003,0.0011
0.5411,0.2044
0.0004,0.0006
0.0,0.0008
0.0004,0.0006
0.0,0.0008
0.0004,0.0011
0.0,0.0008
0.0002,0.0
0.0004,0.0
0.0133,0.0033
0.0206,0.0109
0.0706,0.0196
0.0116,0.0083
0.0147,0.0117
0.0,0.0101
0.0,0.0
0.0,0.0006
0.0583,0.0269
0.0,0.0029
0.0051,0.012
0.0031,0.0084
0.001,0.0
0.0018,0.017
0.0013,0.0
0.0025,0.0083
0.0032,0.0024
0.0017,0.0035
0.0035,0.0069
0.005,0.0036
0.0005,0.0018
0.0004,0.0
0.0007,0.0011
0.0033,0.0036
0.0016,0.0002
0.0517,0.0169
0.0022,0.0026
0.002,0.0017
0.0024,0.0018
0.0035,0.0019
0.002,0.0013
0.0018,0.0025
0.0042,0.0015
0.0,0.0
0.0048,0.0025
0.0,0.0
0.0,0.0
0.0015,0.0016
0.0043,0.0015
0.0104,0.0054
0.005,0.0044
0.0017,0.0082
0.0105,0.0093
0.0,0.0
0.0,0.0103
0.0,0.0055
0.003,0.0026
0.0,0.0016
0.0019,0.0103
0.0518,0.0199
0.003,0.012
0.0429,0.012
0.0,0.0
0.0,0.0025
0.0,0.0016
0.0125,0.0101
0.0,0.0016
0.029,0.0101
0.0,0.0074
0.0,0.0016
0.0,0.0007
0.0102,0.0064
0.0088,0.0064
0.0104,0.0064
0.0055,0.0013
0.005,0.0016
0.0025,0.0012
0.0063,0.0017
0.0154,0.0035
0.0163,0.0035
0.0171,0.0031
0.0156,0.0027
0.007,0.0017
0.006,0.0017
0.0074,0.0025
0.0063,0.0017
0.0058,0.0016
0.0063,0.0012
0.0051,0.0015
0.0076,0.0013
0.0085,0.0016
0.0107,0.0021
0.0079,0.0022
0.0121,0.0025
0.0311,0.008
0.0111,0.0024
0.0057,0.0013
0.0049,0.0015
0.0085,0.0019
0.0082,0.0017
0.0087,0.002
0.0056,0.0015
0.0285,0.0057
0.0113,0.0024
0.0396,0.1336
0.0034,0.0019
0.0396,0.1336
0.0034,0.0019
0.0162,0.0047
0.0224,0.011
0.0153,0.0068
0.0164,0.0051
0.0064,0.0012
0.0129,0.0035
0.0292,0.0066
0.0349,0.0083
0.0048,0.001
0.0102,0.002
0.0056,0.0013
0.0071,0.0021
0.0047,0.0012
0.0078,0.0018
0.0108,0.0024
0.0062,0.0011
0.0046,0.001
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0001,0.0
0.0035,0.0084
0.0118,0.0028
0.008,0.0024
0.0095,0.0027
0.0118,0.0028
0.0,0.0
0.0118,0.0028
0.0,0.0
0.0,0.0
0.0004,0.0
0.0118,0.0028
0.0118,0.0028
0.0007,0.0008
0.0018,0.0446
0.0118,0.0028
0.2074,0.1077
0.0153,0.0068
0.0048,0.0074
0.0026,0.0005
0.0002,0.0078
0.0025,0.0025
0.0,0.003
0.0042,0.0032
0.0034,0.0019
0.0069,0.0019
0.3802,0.1485
0.0161,0.0083
0.0069,0.0019
0.0198,0.0051
0.0064,0.0037
0.0128,0.0136
0.0243,0.0069
0.01,0.0074
0.0076,0.0083
0.0153,0.0068
0.007,0.0026
0.0047,0.0036
0.0224,0.011
0.0,0.0
0.0,0.0012
0.0,0.0
0.0089,0.0023
0.0,0.0
0.0016,0.0063
0.0118,0.0028
0.0002,0.0
0.0145,0.0096
0.0145,0.0096
0.0019,0.0
0.0057,0.002
0.0114,0.0058
0.0022,0.0072
0.0273,0.0112
0.0396,0.1336
0.0018,0.0002
0.0003,0.0061
0.0005,0.003
0.0251,0.0076
0.1243,0.0485
0.0172,0.0074
0.0095,0.006
0.1129,0.0541
0.0099,0.0043
0.0089,0.0058
0.0073,0.0054
0.0253,0.0111
0.0119,0.0058
0.058,0.0263
0.0095,0.006
0.0973,0.0317
0.0044,0.0043
0.0089,0.0058
0.0763,0.029
0.0844,0.0303
0.0,0.0008
0.0129,0.0093
0.0014,0.0008
0.0037,0.0045
0.0061,0.0044
0.0013,0.0095
0.0,0.009
0.0,0.007
0.0,0.0091
0.0,0.0076
0.0006,0.0052
0.0,0.0023
0.0013,0.0078
0.0233,0.041
0.0,0.0005
0.0,0.0
0.0004,0.0013
0.0011,0.003
0.001,0.0045
0.014,0.0073
0.0064,0.0037
0.0146,0.0081
0.009,0.0035
0.0044,0.0043
0.0464,0.023
0.0832,0.0301
0.0257,0.0103
0.0073,0.0054
0.0232,0.0097
0.021,0.0117
0.0161,0.0083
0.0597,0.0228
0.0527,0.0183
0.0844,0.0303
0.0243,0.0117
0.0003,0.0009
0.0156,0.0074
0.0597,0.0228
0.0109,0.0024
0.0129,0.0049
0.0095,0.006
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.008,0.0077
0.0017,0.0
0.0112,0.0044
0.0019,0.0007
0.0112,0.0044
0.0373,0.0205
0.0163,0.0049
0.0,0.0004
0.0093,0.0185
0.0029,0.0015
0.0039,0.0006
0.0406,0.0227
0.0013,0.0014
0.01,0.008
0.0092,0.002
0.0056,0.0022
0.001,0.0019
0.0061,0.0005
0.0,0.0024
0.0,0.0042
0.0,0.0025
0.0,0.0009
0.0,0.0017
0.0,0.0018
0.0,0.001
0.0,0.0025
0.0,0.0016
0.0,0.0015
0.0,0.0027
0.0,0.0024
0.0,0.0001
0.0,0.0021
0.0,0.0015
0.0,0.0
0.0,0.0016
0.0012,0.0002
0.0155,0.0089
0.0,0.0014
0.006,0.0006
0.0046,0.0013
0.0032,0.0005
0.0,0.0011
0.0017,0.0
0.0018,0.0
0.0,0.0018
0.0,0.0027
0.0,0.0059
0.0,0.0019
0.0,0.0006
0.0,0.0007
0.0,0.0044
0.0,0.0028
0.0,0.0018
0.0,0.0015
0.0,0.0021
0.0,0.003
0.0,0.0007
0.0,0.0001
0.0095,0.0044
0.0027,0.0
0.0096,0.0037
0.0014,0.0046
0.0105,0.0049
0.0116,0.0049
0.0012,0.0
0.0027,0.0
0.0028,0.0
0.0,0.0016
0.0089,0.01
0.0016,0.0
0.0,0.0024
0.0,0.0
0.0,0.0013
0.0,0.0008
0.0007,0.0007
0.0008,0.0011
0.0022,0.0003
0.0034,0.0019
0.0034,0.0019
0.0015,0.0008
0.0041,0.0024
0.0013,0.0072
0.0045,0.0042
0.0041,0.0025
0.0026,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0012,0.0
0.0,0.0034
0.0086,0.0167
0.0027,0.0004
0.0118,0.0109
0.0109,0.0112
0.0027,0.0025
0.003,0.001
0.0026,0.0008
0.0801,0.1774
0.0002,0.0002
0.0057,0.0013
0.0031,0.0009
0.0,0.0016
0.0005,0.0035
0.0,0.001
0.0,0.0002
0.0059,0.0043
0.0142,0.0106
0.0095,0.0043
0.0042,0.0112
0.0076,0.0106
0.0046,0.0103
0.0084,0.0143
0.0047,0.0066
0.0057,0.0099
0.009,0.0165
0.0,0.0018
0.0058,0.0019
0.0018,0.0002
0.0039,0.0037
0.0042,0.0011
0.0,0.004
0.0,0.0
0.0,0.0
0.0005,0.0
0.0011,0.0003
0.0026,0.0033
0.0092,0.0015
0.0019,0.005
0.0,0.0018
0.0021,0.0
0.0039,0.0037
0.0099,0.0043
0.0069,0.0019
0.0,0.0
0.0,0.0
0.0027,0.0001
0.0014,0.0
0.0018,0.0
0.0057,0.0004
0.0017,0.0001
0.0015,0.0
0.0019,0.0
0.0051,0.001
0.0072,0.0008
0.0075,0.0035
0.0104,0.0018
0.0085,0.0016
0.0172,0.0074
0.0059,0.0026
0.0049,0.004
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0016
0.0,0.0
0.0,0.0
0.0,0.0
0.0181,0.0088
0.0947,0.0323
0.0702,0.0294
0.0125,0.008
0.0006,0.0003
0.0182,0.0061
0.0382,0.1334
0.0018,0.0002
0.0004,0.0042
0.0002,0.0002
0.0,0.0
0.0013,0.0
0.0,0.0
0.0,0.0002
0.0097,0.0034
0.0048,0.0014
0.0,0.001
0.0145,0.0096
0.0069,0.0019
0.0002,0.0022
0.0069,0.0019
0.0105,0.0038
0.0069,0.0019
0.0069,0.0019
0.0002,0.0022
0.0127,0.006
0.0224,0.011
0.009,0.002
0.0039,0.0051
0.0048,0.0019
0.0069,0.0019
0.0,0.0025
0.0007,0.0033
0.0008,0.0026
0.0006,0.0015
0.0015,0.0067
0.0064,0.0031
0.0004,0.0038
0.0,0.0033
0.0026,0.0012
0.0027,0.0035
0.0022,0.0
0.0145,0.0096
0.0145,0.0096
0.0145,0.0096
0.0064,0.0037
0.0003,0.0033
0.0118,0.0067
0.0065,0.0024
0.001,0.0021
0.0003,0.0008
0.0058,0.0019
0.0004,0.001
0.009,0.0024
0.0002,0.0015
0.0144,0.0044
0.0003,0.0027
0.0155,0.0078
0.0029,0.0009
0.0,0.0084
0.0,0.0004
0.0,0.0079
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
